HIP, e_Plx, Plx
1247,0.85,-0.47
1248,2.47,2.99
1249,0.95,3.45
1250,0.88,2.32
1251,1.71,8.16
1252,1.4,6.48
1253,1.43,0.86
1254,1.15,3.36
1255,0.84,7.49
1256,1.13,5.22
1257,0.99,0.87
1258,0.8,11.65
1259,0.77,4.17
1260,1.98,2.24
1261,1.04,0.92
1262,1.94,3.86
1263,1.98,1.85
1264,1.04,2.17
1265,1.41,6.68
1266,1.3,10.45
1267,1,0.51
1268,0.54,4.63
1269,0.67,5.76
1270,1.26,1.77
1271,1.45,1.63
1272,0.94,7.32
1273,0.95,3.09
1274,1.25,13.96
1275,1.67,19.25
1276,3.89,41.32
1277,1.11,5.07
1278,1.41,2.19
1279,0.97,1.15
1280,1.63,2.87
1281,1.48,5.18
1282,1.83,2.07
1283,0.87,3.36
1284,0.79,3.18
1285,1.33,4.43
1286,0.97,7.44
1287,1.35,0.02
1288,0.83,7.64
1289,1.11,-0.46
1290,1.38,13.79
1291,1.11,5.96
1292,0.53,56.76
1293,0.91,1.94
1294,1.17,23.91
1295,21.56,49.91
1296,0.96,5.28
1297,0.97,14.92
1298,1.58,0.86
1299,6.16,9.32
1300,0.94,7.65
1301,1.46,8.67
1302,0.98,10.75
1303,1.37,5.09
1304,1.22,12.54
1305,1.22,9.45
1306,1.21,13.71
1307,0.85,2.94
1308,2.32,21.82
1309,0.61,5.08
1310,0.82,1.87
1311,1.31,5.56
1312,0.73,5.56
1313,1.22,5.71
1314,0.9,4.61
1315,0.93,1.69
1316,1.49,4.55
1317,1.18,5.38
1318,0.85,7.65
1319,0.92,7.38
1320,1.16,9.88
1321,1.18,11.21
1322,3.44,44.82
1323,1.55,4.68
1324,1.43,4.59
1325,1.11,3.31
1326,1.1,-0.57
1327,1.48,1.53
1328,1.14,3.99
1329,1.13,8.28
1330,0.85,5.89
1331,0.85,5.33
1332,1.42,1.73
1333,0.87,7.18
1334,1.54,23.92
1335,0.96,10.38
1336,1.3,11.15
1337,0.92,3.1
