HIP, e_Plx, Plx
56630,1.55,40.99
56662,3.61,65.28
56809,0.95,42.94
56829,1.15,50.61
56936,2.83,44.28
56997,0.72,104.81
56998,0.92,79.91
57050,3.03,90.66
57087,2.27,97.73
57361,3.55,49.63
57367,2.11,216.4
57443,0.7,108.23
57459,3,48.95
57493,1.52,40.61
57494,2.66,40.57
57507,0.77,56.26
57544,1.43,185.48
57548,2.2,299.58
57632,0.89,90.16
57757,0.77,91.74
57802,1.38,116.92
57866,1.58,39.48
57939,0.78,109.21
57959,3.34,48.63
58170,2.81,42.82
58345,0.88,98.16
58451,1.03,48.04
58576,0.8,77.48
58688,2.81,42
58803,0.76,41.32
59000,1.51,44.41
59072,0.51,50.79
59199,0.75,67.71
59280,0.98,41.07
59296,1,49.72
59378,1.88,47.05
59406,2.8,78.14
59514,1.47,65.29
59616,2.48,42.1
59748,2,43.25
59750,1.01,44.34
59774,0.6,40.05
59780,3.08,49.62
60093,1.94,40.58
60303,1.26,62.54
60310,1.23,41.49
60370,0.8,39.02
60398,2.27,55.5
60444,5.72,77.01
60475,1.95,47.11
60553,17.45,41.37
60559,2.51,112.52
60866,1.23,40.09
60910,3.67,73.77
60970,3.62,43.42
60994,0.98,40.03
61053,0.62,45.58
61094,1.48,74.58
61099,0.95,39.62
61100,3.11,42.13
61174,0.66,54.92
61291,0.63,61.83
61317,0.83,119.46
61329,1.17,39.11
61413,2.75,55.79
61451,0.91,46.19
61495,9.42,55.29
61629,2.1,103.54
61706,2.76,65.04
61722,4.64,39.08
61874,3.87,130.52
61901,1.1,69.94
61941,1.18,84.53
61946,0.82,43.06
62145,0.78,66.4
62207,0.64,57.57
62229,0.95,49.71
62374,2.32,49.89
62387,64.77,39.48
62452,2.9,121.78
62471,9.2,53.29
62472,3.19,50.31
62505,1.93,47.19
62512,3.2,41.39
62523,0.99,58.23
62556,1.67,98.14
62687,0.96,92.75
62951,26.65,48.07
62956,0.62,40.3
63121,23.72,39.95
63253,3.15,55.27
63257,1.32,43.13
63366,0.86,47.6
63383,44.19,45.19
63406,1.48,41.36
63480,1.78,49.95
63503,0.6,40.06
63510,1.51,87.5
63550,2.13,59.46
63618,1.11,56.87
63742,1.27,45.2
63762,0.76,41.12
63833,1.34,63.66
63882,6.95,43.18
63894,1.25,45.69
63942,2.38,53.78
64048,1.52,41.9
64113,4.13,39.12
64241,27.58,69.81
64394,0.72,109.23
64408,0.79,48.83
64457,1.06,48.95
64550,0.84,40.87
64583,0.65,55.49
64690,0.56,40.52
64792,0.85,55.71
64797,0.99,89.07
64880,2.12,46.25
64924,0.71,117.3
65011,3.31,75.96
65012,39.3,55.48
65016,2.3,57.52
65026,2.02,96.41
65083,3.05,48.18
65109,0.74,55.64
65143,1.76,62.13
65327,1.44,39.84
65343,2.13,53.97
65352,1.41,62.41
65355,2.59,59.56
65378,0.61,41.73
65477,0.57,40.19
65515,0.72,45.76
65520,2.29,61.5
65530,0.55,46.86
65669,2.95,48.04
65714,2.4,70.62
65721,0.73,55.22
65859,1.29,131.12
65877,3.77,55.5
66077,40.63,72.66
66125,39.91,52.09
66147,1.03,54.15
66182,114.46,59.1
66193,1.2,43.66
66212,1.87,41.03
66222,1.62,48.78
66249,0.9,44.55
66252,0.99,50.54
66459,1.23,91.72
66492,2.72,45.66
66578,2.89,40.33
66587,2.1,40.27
66625,1.59,75.43
66675,1.43,68.8
66704,0.71,39.64
66765,0.81,64.08
66781,0.76,42.12
66840,1.63,42.19
66886,1.41,41.22
66906,3.18,109.89
67090,1.46,76.7
67105,1.16,47.63
67153,0.75,51.91
67155,1.27,184.13
67164,4.26,87.73
67275,0.7,64.12
67308,2.93,61.07
67422,1.33,73.25
67487,1.01,70.49
67593,107.46,76.2
67620,0.85,50.2
67655,1,40.02
67691,0.95,71.39
67742,0.95,60.86
67761,3.43,41.19
67795,5.22,43.23
67808,1.77,47.95
67842,1.31,41.25
67927,0.75,88.17
67960,2.65,59.57
68030,0.79,41.28
68184,0.56,98.97
68337,1.17,41.97
68469,1.61,98.26
68570,2.17,51.21
68682,0.78,60.24
68933,0.79,53.52
69064,5.38,60.4
69285,2.14,58.18
69357,1.4,43.35
69414,1.01,44.89
69454,1.79,85.02
69485,1.74,51.06
69526,1.05,57.78
69578,46.97,64.68
69671,0.78,47.51
69673,0.74,88.85
69701,0.87,46.74
69824,1.33,53.64
69962,1.73,46.46
69965,0.94,56.23
69972,0.79,84.5
70016,1.11,48.12
70218,1.08,69.43
70308,1.47,42.29
70319,1.04,56.82
70475,4.28,69.73
70497,0.56,68.63
70529,1.73,59.54
70536,1.81,63.35
70849,2.02,41.71
70857,0.58,51.04
70865,2.25,70.06
70873,0.59,42.43
70890,2.42,772.33
70950,1.03,45.46
70956,1.57,60.53
70975,3.47,89.76
71181,0.69,74.5
71253,2.77,163.51
71284,0.72,64.66
71311,1.27,49.11
71395,0.99,60.35
71681,1.4,742.12
71683,1.4,742.12
71743,0.97,42.43
71855,0.64,49.15
71898,12.77,101.34
71908,0.58,60.97
71914,2.57,44.54
71957,0.95,53.54
72146,0.98,51.2
72237,1.29,56.87
72312,1.04,50.84
72387,1.47,41.26
72493,1.24,41.69
72509,69.07,221.8
72511,22.43,235.24
72567,0.8,55.73
72603,1.04,42.26
72622,1.05,42.25
72659,0.76,149.26
72688,1.05,58.96
72848,0.81,86.69
72875,1.2,43.66
72896,5.99,97.83
72944,1.67,101.91
72981,2.6,44.46
73005,0.63,41.83
73100,0.54,40.25
73182,33.56,133.63
73184,1.67,169.32
73241,0.86,40.79
73252,0.92,39.95
73362,1.5,39.27
73457,1.76,51.26
73470,1.56,85.48
73631,1.54,40.22
73633,2.11,41.07
73695,1.03,78.39
73734,1.44,56.94
73786,1.97,52.11
73996,0.76,50.7
74190,2.63,68.99
74261,2.41,39.99
74273,0.77,41.41
74537,0.85,57.8
74605,0.47,39.51
74702,0.97,64.19
74815,3.88,41.21
74975,0.81,40.46
74995,2.27,159.52
75181,0.79,68.7
75187,1.93,87.79
75201,1.55,52.95
75253,1.41,45.83
75266,1.37,39.35
75277,0.92,49.67
75312,1.24,53.7
75542,1.57,40.92
75686,1.7,39.03
75718,1.11,50.34
75722,1.14,48.06
75798,2,39.78
75809,0.57,45.32
75829,0.69,46.05
76051,20.41,44.59
76074,1.42,168.52
76233,0.83,39.78
76267,0.79,43.65
76315,0.74,52.43
76362,61.26,99.9
76375,0.73,44.93
76382,0.79,45.85
76602,4.72,44.21
76603,3.62,40.19
76779,1.36,63.56
76829,0.72,57.09
76832,2.27,76.57
76901,43.95,121.86
77052,0.87,68.16
77070,0.71,44.54
77257,0.8,85.08
77268,2.62,39.78
77349,2.49,64.16
77358,0.77,65.6
77408,1.05,46.84
77514,3.37,57.78
77622,0.74,46.39
77725,1.56,44.27
77760,0.54,63.08
77801,0.88,57.27
77908,8.88,39.45
77952,0.62,81.24
78072,0.72,89.92
78170,1.02,68.18
78353,1.91,71.84
78459,0.71,57.38
78527,0.54,47.79
78709,0.89,46.56
78734,1.95,43
78775,0.57,69.61
78843,1.11,53.93
78913,0.86,42.57
79126,1.06,58.53
79190,0.9,69.66
79248,0.59,55.11
79431,3.55,67.13
79492,1.58,41.05
79537,0.82,72.75
79551,5.69,43.82
79578,0.95,45.73
79607,0.98,46.11
79672,0.89,71.3
79755,1.21,93.79
79762,1.38,93.14
79796,1.16,48.36
79979,23.38,56.82
80018,2.28,118.03
80093,0.9,62.86
80229,3.69,41.01
80268,2.05,59.46
80300,2.4,78.04
80337,0.86,77.69
80346,1.16,124.34
80366,1.2,46.44
80440,2.19,55.81
80459,1.11,151.93
80468,18.4,39.35
80612,2.85,46.19
80644,1.31,56.43
80686,0.57,82.61
80725,1.49,51.2
80817,5.06,45.35
80824,1.82,234.51
80925,1.75,40.6
81018,5.13,61.08
81262,1.4,44.77
81300,0.85,102.27
81348,1.29,39.04
81375,0.92,49.63
81520,0.91,46.13
81563,1.98,45.89
81655,4.66,51.88
81693,0.6,92.63
81813,0.57,41.15
81935,0.99,69.58
82003,0.88,102.35
82099,3.39,60.34
82256,2.1,62.66
82257,2.33,91.13
82283,2.22,55.09
82333,1.15,44.16
82396,0.81,49.85
82588,0.87,59.04
82694,1.97,52.43
82724,20.12,109.57
82725,29.27,203.01
82809,4.04,153.96
82817,3.9,174.23
82834,1.69,53.54
82860,0.48,66.28
82926,5.02,68.71
83006,0.71,57.13
83020,1.21,55.71
83043,1.48,96.9
83101,2.05,52.3
83147,11.61,39.86
83363,1.33,39.32
83389,0.55,55.37
83405,8.22,44.29
83451,1.57,39.71
83454,4.76,40.18
83541,0.89,55.31
83591,1.04,92.98
83599,28.71,89.7
83601,0.89,49.06
83762,3.01,73.94
83846,1.52,44.44
83945,8.95,137.84
83988,1.88,47.14
83990,0.91,73.07
83996,3.11,47.86
84051,1.82,79.53
84084,56.24,54.25
84099,2.13,83.13
84123,5.11,92.58
84140,3.26,158.17
84143,0.79,45.56
84195,1.03,48.69
84212,3.27,47.05
84223,4.53,41.97
84277,4.18,52.76
84379,0.65,41.55
84405,1.07,167.08
84460,2.22,55.24
