HIP,HD,designation,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
HIP 111766,\N,\N,11.5,339.61911518,-65.37811571,22 38 28.59,-65 22 41.2,67.44,6.47,14.828,833.28,-160.26,\N,\N,10.644587808083427,0.20896751814154158,\N,\N,1.593,\N
HIP 35296,57095,\N,6.7,109.37323947,-46.98066437,07 17 29.58,-46 58 50.4,67.69,0.86,14.7732,-18.46,585.03,\N,7.437,5.852622570486292,0.027589995004595913,6.589622570486292,0.027589995004595913,0.975,\N
HIP 52190,\N,\N,11.02,159.93420037,-37.92011347,10 39 44.21,-37 55 12.4,68.38,3.76,14.6242,189.48,-129.43,\N,\N,10.19464548230288,0.11952296075179802,\N,\N,1.529,\N
HIP 82926,\N,\N,11.18,254.20216085,-39.09365955,16 56 48.52,-39 05 37.2,68.71,5.02,14.5539,65.79,-109.38,\N,\N,10.365099742704542,0.15893246254359283,\N,\N,1.51,\N
HIP 64241,114378,\N,4.32,197.49812263,17.52911621,13 09 59.55,+17 31 44.8,69.81,27.58,14.3246,-445.95,129.69,\N,\N,3.539588190031962,0.9072332110218957,\N,\N,0.455,\N
HIP 65714,\N,\N,11.23,202.08746,-2.35910065,13 28 20.99,-02 21 32.8,70.62,2.4,14.1603,151.08,-486.61,\N,\N,10.474638566135392,0.07382528385582532,\N,\N,1.539,\N
HIP 66077,\N,\N,11.38,203.1851521,16.81138664,13 32 44.44,+16 48 41.0,72.66,40.63,13.7627,252.95,-221.83,\N,\N,10.686476967633478,1.3715865953315252,\N,\N,1.54,\N
HIP 15220,\N,\N,10.53,49.05558125,58.1681699,03 16 13.34,+58 10 05.4,74.29,6.3,13.4608,431.2,-324.95,\N,\N,9.88465179174348,0.184590286495105,\N,\N,1.43,\N
HIP 107711,\N,\N,11.52,327.29637525,-41.55787029,21 49 11.13,-41 33 28.3,74.42,41.23,13.4372,948.19,-471.79,\N,\N,10.878448328427575,1.355345961745086,\N,\N,1.57,\N
HIP 67593,\N,\N,13.31,207.75601036,23.76362602,13 51 01.44,+23 45 49.1,76.2,107.46,13.1234,2281.92,5369.43,\N,\N,12.719774856698002,\N,\N,\N,\N,\N
HIP 60444,\N,\N,11.19,185.88679784,67.18861012,12 23 32.83,+67 11 19.0,77.01,5.72,12.9853,236.96,-121.73,\N,\N,10.62273561695553,0.16158602403596234,\N,\N,\N,\N
HIP 24608,34029,\N,0.08,79.17206517,45.99902927,05 16 41.30,+45 59 56.5,77.29,0.89,12.9383,75.52,-427.13,\N,\N,-0.479383463510457,0.025005768801346306,\N,\N,0.795,\N
HIP 95326,\N,\N,12.39,290.91222473,-39.18916047,19 23 38.93,-39 11 21.0,77.71,57.93,12.8684,101.74,-21.62,\N,\N,11.842384544800854,2.09040373461222,\N,\N,\N,\N
HIP 16134,21531,\N,8.39,51.96697135,-19.80522105,03 27 52.07,-19 48 18.8,79.26,2.25,12.6167,537.17,303.87,\N,\N,7.885270339990855,0.061659424366119264,\N,\N,1.337,\N
HIP 49969,\N,\N,10.64,153.01828324,-2.68327061,10 12 04.39,-02 40 59.8,81.23,2.37,12.3107,521.57,-601.35,\N,\N,10.188582266171723,0.06337376175453002,\N,\N,1.566,\N
HIP 3937,\N,\N,12.01,12.63797991,24.81682158,00 50 33.12,+24 49 00.6,83.2,9.08,12.0192,198.46,-41.74,\N,\N,11.610616631453622,0.2379304380054883,\N,\N,\N,\N
HIP 98681,\N,\N,9.92,300.64939243,-50.04937722,20 02 35.85,-50 02 57.8,84.75,11.17,11.7994,334.48,-311.41,\N,\N,9.5606985343756,0.2878734664892093,\N,\N,\N,\N
HIP 21000,\N,\N,9.83,67.55216585,5.29852669,04 30 12.52,+05 17 54.7,84.76,4.74,11.798,106.9,119.86,\N,\N,9.470954740193786,0.12156122068233444,\N,\N,0.6,\N
HIP 22738,\N,\N,10.73,73.37945078,-55.86048727,04 53 31.07,-55 51 37.8,89.47,3.55,11.1769,132.86,73.93,\N,\N,10.488387186716505,0.08620516705004366,\N,\N,1.58,\N
HIP 84123,\N,\N,11.45,257.96906084,-1.85097191,17 11 52.57,-01 51 03.5,92.58,5.11,10.8015,-534.66,-326.41,\N,\N,11.28258588223396,0.11997745769451829,\N,\N,1.6,\N
HIP 29316,\N,\N,10.41,92.72819625,10.32031841,06 10 54.77,+10 19 13.1,92.77,4.56,10.7793,57.62,-926.7,\N,\N,10.247037782987364,0.10682225324384742,\N,\N,1.45,\N
HIP 14101,\N,\N,10.4,45.46502827,-16.59263281,03 01 51.61,-16 35 33.5,92.97,38.04,10.7562,-361.17,-304.4,\N,\N,10.241714154794728,0.9437371190491088,\N,\N,\N,\N
HIP 102141,196982,\N,10.27,310.46238529,-32.43434165,20 41 50.97,-32 26 03.6,97.8,4.65,10.2249,269.32,-365.69,\N,\N,10.221694273938008,0.10332275876238128,\N,\N,1.55,\N
HIP 72896,\N,\N,11.53,223.46626781,23.55551709,14 53 51.90,+23 33 19.9,97.83,5.99,10.2218,-679.64,102.46,\N,\N,11.4823602676281,0.13312287372233023,\N,\N,\N,\N
HIP 62556,\N,\N,10.94,192.26409622,66.11044073,12 49 03.38,+66 06 37.6,98.14,1.67,10.1895,-436.96,-106.7,\N,\N,10.899230268224484,0.036954442660547926,\N,\N,1.626,\N
HIP 50798,\N,\N,11.49,155.5828114,-47.97281127,10 22 19.87,-47 58 22.1,98.17,79.48,10.1864,-98.49,62.53,\N,\N,11.449893954972916,2.4448897761162858,\N,\N,3.5,\N
