designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 423075173680043904,1.5679083398603368,58.436861698042875,48.10266404554371,0.039829273,240.46834,237.577540601277,37.1743219800333,1.7541829,6.221867,6.380405,5.585264,5617.5693,5612.656,5623.7314,4.3236,4.3213,4.3275,-0.8889,-0.919,-0.845,20.7815,20.7618,20.8019
Gaia DR3 1953952391581618432,324.15953061029757,39.45499047105479,48.10821186928963,0.18154478,263.42123,-209.18084234937302,-160.10661440006356,7.0242624,9.651061,10.391324,8.42933,,,,,,,,,,,,
Gaia DR3 553480551264062848,80.6378397862045,79.23187117015195,48.109843338113144,0.07265062,180.17584,-78.66075047072465,162.09818613213187,1.051833,4.9560766,5.207517,4.5652957,6270.167,6268.725,6271.52,4.0955,4.0927,4.098,-0.2521,-0.264,-0.24,20.8123,20.7709,20.8808
Gaia DR3 6165095738576250624,205.49961107955724,-34.25030350013807,48.11495272535425,0.061757725,2571.2402,-2301.288006713221,1146.8872037903784,0.9918731,16.238365,16.672112,15.635695,,,,,,,,,,,,
Gaia DR3 4794632903476180096,86.82605375222614,-48.52657397843696,48.12919399331694,0.011208533,323.48102,23.93431469544731,-322.5943393495064,0.95342106,9.1117325,9.958851,8.207006,3807.6562,3798.3237,3841.213,4.4035,4.3717,4.4415,-0.6059,-0.684,-0.4747,20.7698,20.721,20.8873
Gaia DR3 4803556711646531840,88.4171016972997,-42.697284633589526,48.13156377652921,0.014814266,411.7053,-5.095060848762712,-411.673767072946,1.2607925,12.10367,13.45962,10.957733,3135.7898,3135.1357,3137.5771,4.3181,4.3158,4.3237,-0.905,-0.9075,-0.8985,20.7953,20.7875,20.8231
Gaia DR3 6885822307751773568,316.9035723551697,-13.083218468975229,48.143771292010584,0.04057871,106.435555,61.03615973461224,-87.1958429124708,1.409655,11.482677,12.883124,10.305081,3108.8633,3107.6228,3111.018,4.1108,4.1063,4.1197,-0.7857,-0.7903,-0.7654,20.7961,20.758,21.0199
Gaia DR3 3709637096929192960,191.53787543439145,7.1048512408396345,48.14651831489268,0.06787187,558.69574,-309.74813063583287,-464.96994927180316,1.3229976,15.424054,18.047234,13.998552,,,,,,,,,,,,
Gaia DR3 3960456315067417600,188.1002788390153,25.47365535570494,48.15819504946504,0.05525794,138.42888,129.15230768755697,-49.82205465321419,1.0078886,15.438634,18.060942,14.017523,,,,,,,,,,,,
Gaia DR3 1708693055848054912,237.47429032555917,79.66488210300243,48.16003145330838,0.14468344,252.39162,-219.71652985852128,124.20213777046513,9.442295,13.02594,14.96221,11.686339,,,,,,,,,,,,
