HR,Name,HD,HD_Suffix,V,B_V,SpType
HR 2522,\N,HD 49662,\N,5.39,-0.10,B6V
HR 2762,\N,HD 56456,\N,4.76,-0.10,B8-9V
HR 4552,Bet Hya,HD 103192,\N,4.28,-0.10,B9IIIpSi
HR 8094,\N,HD 201433,\N,5.59,-0.10,B9VpSi
HR 15,21Alp And,HD 358,\N,2.06,-0.11,B8IVpMnHg
HR 2674,\N,HD 53921,\N,5.50,-0.11,B9IV
HR 3101,\N,HD 65211,\N,6.02,-0.11,B6V
HR 3234,\N,HD 68895,\N,6.03,-0.11,B5V
HR 3568,\N,HD 76640,\N,6.38,-0.11,B5V
HR 3661,\N,HD 79416,\N,5.57,-0.11,B8Vp:Si:
HR 3982,32Alp Leo,HD 87901,\N,1.35,-0.11,B7V
HR 4662,4Gam Crv,HD 106625,\N,2.59,-0.11,B8IIIpHgMn
HR 7963,54Lam Cyg,HD 198183,\N,4.53,-0.11,B5Ve
HR 3817,\N,HD 82984,\N,5.12,-0.12,B4IV
HR 5953,7Del Sco,HD 143275,\N,2.32,-0.12,B0.3IV
HR 7889,14Tau Cap,HD 196662,\N,5.22,-0.12,B6III
HR 1791,112Bet Tau,HD 35497,\N,1.65,-0.13,B7III
HR 1946,126    Tau,HD 37711,\N,4.86,-0.13,B3IV
HR 5210,3    Cen,HD 120709,\N,4.56,-0.13,B5IIIp
HR 5778,4The CrB,HD 138749,\N,4.14,-0.13,B6Vnne
HR 6462,Gam Ara,HD 157246,\N,3.34,-0.13,B1Ib
HR 1839,32    Ori,HD 36267,\N,4.20,-0.14,B5V
HR 1898,\N,HD 37040,\N,6.38,-0.14,B2.5IV
HR 2424,\N,HD 47144,\N,5.59,-0.14,A0V
HR 2726,\N,HD 55718,\N,5.96,-0.14,B3V
HR 3358,\N,HD 72108,\N,5.33,-0.14,B2IV
HR 5605,Pi  Lup,HD 133242,\N,4.72,-0.14,B5V
HR 7426,8    Cyg,HD 184171,\N,4.74,-0.14,B3IV
HR 2306,\N,HD 44953,\N,6.60,-0.15,B8IIIHe wk
HR 3294,\N,HD 70930,\N,4.82,-0.15,B1V
HR 3373,\N,HD 72436,\N,6.31,-0.15,B4V
HR 8040,\N,HD 199955,\N,5.61,-0.15,B5Vn
HR 3359,\N,HD 72127,\N,4.99,-0.16,B2IV
HR 4456,90    Leo,HD 100600,\N,5.95,-0.16,B4V
HR 472,Alp Eri,HD 10144,\N,0.46,-0.16,B3Vpe
HR 7911,\N,HD 197018,\N,6.06,-0.16,B6IIIpMn
HR 1788,28Eta Ori,HD 35411,\N,3.36,-0.17,B1V+B2e
HR 2364,\N,HD 45871,\N,5.74,-0.17,B4Vnpe
HR 1842,33    Ori,HD 36351,\N,5.46,-0.18,B1IV+B1.5V
HR 4844,Bet Mus,HD 110879,\N,3.05,-0.18,B2.5V
HR 5781,\N,HD 138769,\N,4.54,-0.18,B3IVp
HR 1903,46Eps Ori,HD 37128,\N,1.70,-0.19,B0Ia
HR 5440,Eta Cen,HD 127972,\N,2.31,-0.19,B1.5Vne
HR 5776,Gam Lup,HD 138690,\N,2.78,-0.20,B2IV
HR 7790,Alp Pav,HD 193924,\N,1.94,-0.20,B2IV
HR 1948,50Zet Ori,HD 37742,\N,2.05,-0.21,O9.7Ib
